"NAME","Year","CountOfCAMPNAME","SumOfCPETALLC","SumOfCPETECOC","SumOfCPETLEPC","SumOfCPETBILC","SumOfCPETSPEC"
"Corsicana ISD",2015,1,104.00,102.00,23.00,23.00,0.00
"Corsicana ISD",2016,1,74.00,74.00,20.00,20.00,0.00
"Corsicana ISD",2017,1,80.00,80.00,22.00,22.00,0.00
"Corsicana ISD",2018,1,71.00,69.00,21.00,21.00,0.00
"Corsicana ISD",2019,1,71.00,71.00,25.00,0.00,0.00
"Corsicana ISD",2020,1,86.00,85.00,15.00,0.00,0.00
"Crockett ISD",2013,1,133.00,51.00,5.00,5.00,8.00
"Crockett ISD",2014,1,168.00,76.00,10.00,10.00,10.00
"Crockett ISD",2015,1,181.00,54.00,13.00,13.00,12.00
"Crockett ISD",2016,1,198.00,83.00,14.00,14.00,15.00
"Crockett ISD",2017,1,181.00,90.00,13.00,13.00,16.00
"Crockett ISD",2018,1,182.00,78.00,13.00,13.00,17.00
"Crockett ISD",2019,1,151.00,86.00,11.00,0.00,17.00
"Crockett ISD",2020,1,140.00,91.00,14.00,0.00,17.00
"Crowley ISD",2009,1,153.00,6.00,1.00,1.00,12.00
"Crowley ISD",2010,1,155.00,3.00,0.00,4.00,8.00
"Crowley ISD",2011,1,152.00,3.00,3.00,3.00,12.00
"Crowley ISD",2012,1,159.00,13.00,0.00,0.00,25.00
"Crowley ISD",2013,2,716.00,211.00,12.00,11.00,33.00
"Crowley ISD",2014,2,810.00,245.00,20.00,16.00,39.00
"Crowley ISD",2015,2,1263.00,443.00,81.00,68.00,73.00
"Crowley ISD",2016,2,1214.00,440.00,62.00,59.00,62.00
"Crowley ISD",2017,2,1220.00,414.00,112.00,110.00,57.00
"Crowley ISD",2018,2,1213.00,387.00,130.00,128.00,68.00
"Crowley ISD",2019,3,1585.00,546.00,194.00,0.00,88.00
"Crowley ISD",2020,4,2572.00,977.00,273.00,0.00,203.00
"Cypress-Fairbanks ISD",2005,1,110.00,108.00,0.00,41.00,3.00
"Cypress-Fairbanks ISD",2006,1,145.00,140.00,0.00,0.00,2.00
"Cypress-Fairbanks ISD",2007,2,451.00,202.00,59.00,59.00,18.00
"Cypress-Fairbanks ISD",2008,2,611.00,227.00,6.00,6.00,15.00
"Cypress-Fairbanks ISD",2009,2,736.00,223.00,44.00,43.00,19.00
"Cypress-Fairbanks ISD",2010,2,882.00,281.00,44.00,38.00,20.00
"Cypress-Fairbanks ISD",2011,3,1304.00,466.00,67.00,53.00,25.00
"Cypress-Fairbanks ISD",2012,3,1451.00,521.00,131.00,106.00,22.00
"Cypress-Fairbanks ISD",2013,3,1804.00,670.00,230.00,203.00,41.00
"Cypress-Fairbanks ISD",2014,3,1811.00,729.00,245.00,224.00,44.00
"Cypress-Fairbanks ISD",2015,3,1803.00,731.00,300.00,274.00,59.00
"Cypress-Fairbanks ISD",2016,3,1620.00,680.00,208.00,184.00,73.00
"Cypress-Fairbanks ISD",2017,4,2016.00,938.00,282.00,259.00,96.00
"Cypress-Fairbanks ISD",2018,4,2442.00,1447.00,443.00,420.00,135.00
"Cypress-Fairbanks ISD",2019,5,2623.00,1433.00,445.00,0.00,150.00
"Cypress-Fairbanks ISD",2020,5,2921.00,1773.00,659.00,0.00,188.00
"Dallas ISD",1997,1,221.00,0.00,31.00,0.00,4.00
"Dallas ISD",1998,2,671.00,336.00,2.00,0.00,14.00
"Dallas ISD",1999,5,1301.00,444.00,0.00,0.00,49.00
"Dallas ISD",2000,17,4264.00,2564.00,76.00,39.00,107.00
"Dallas ISD",2001,20,6325.00,4026.00,96.00,67.00,287.00
"Dallas ISD",2002,22,7271.00,5163.00,638.00,538.00,386.00
"Dallas ISD",2003,23,9298.00,6461.00,710.00,625.00,781.00
"Dallas ISD",2004,24,10412.00,7419.00,1178.00,1093.00,1105.00
"Dallas ISD",2005,28,10751.00,8146.00,1554.00,1422.00,1185.00
"Dallas ISD",2006,28,11941.00,9254.00,1922.00,1809.00,1159.00
"Dallas ISD",2007,31,12854.00,10336.00,2259.00,2215.00,1222.00
"Dallas ISD",2008,33,13510.00,11121.00,2624.00,2232.00,1126.00
"Dallas ISD",2009,46,15272.00,12847.00,3303.00,3037.00,1188.00
"Dallas ISD",2010,49,17169.00,14702.00,3793.00,3511.00,1391.00
"Dallas ISD",2011,50,18736.00,16214.00,4388.00,4108.00,1498.00
"Dallas ISD",2012,55,21257.00,18721.00,5633.00,5403.00,1748.00
"Dallas ISD",2013,56,22917.00,20170.00,6638.00,6326.00,1707.00
"Dallas ISD",2014,62,26543.00,22933.00,8129.00,7745.00,2093.00
"Dallas ISD",2015,61,28578.00,25195.00,9339.00,8999.00,2097.00
"Dallas ISD",2016,61,31258.00,27342.00,10437.00,10217.00,2360.00
"Dallas ISD",2017,62,33201.00,28831.00,11488.00,11434.00,2575.00
"Dallas ISD",2018,66,34201.00,29816.00,11794.00,11952.00,2517.00
"Dallas ISD",2019,65,33849.00,29958.00,9188.00,2548.00,2626.00
"Dallas ISD",2020,63,34589.00,30436.00,11455.00,2115.00,2815.00
"Dayton ISD",2013,1,88.00,41.00,3.00,3.00,4.00
"Dayton ISD",2014,1,68.00,35.00,1.00,1.00,3.00
"Dayton ISD",2015,1,75.00,25.00,1.00,1.00,5.00
"Dayton ISD",2016,1,89.00,32.00,1.00,1.00,5.00
"Dayton ISD",2017,1,72.00,35.00,1.00,1.00,5.00
"Dayton ISD",2018,1,73.00,39.00,2.00,2.00,3.00
"Dayton ISD",2019,1,89.00,54.00,5.00,0.00,12.00
"Dayton ISD",2020,1,79.00,32.00,5.00,0.00,11.00
"Del Valle ISD",2002,1,16.00,11.00,0.00,0.00,1.00
"Del Valle ISD",2003,1,17.00,17.00,0.00,0.00,1.00
"Del Valle ISD",2004,1,19.00,19.00,0.00,2.00,2.00
"Del Valle ISD",2005,1,13.00,13.00,0.00,0.00,2.00
"Del Valle ISD",2006,1,13.00,8.00,0.00,0.00,0.00
"Del Valle ISD",2007,1,27.00,7.00,0.00,0.00,1.00
"Del Valle ISD",2008,1,13.00,9.00,0.00,2.00,1.00
"Del Valle ISD",2015,2,952.00,882.00,589.00,591.00,69.00
"Del Valle ISD",2016,2,1190.00,1133.00,666.00,674.00,90.00
"Del Valle ISD",2017,2,1299.00,1224.00,751.00,752.00,97.00
"Del Valle ISD",2018,2,1360.00,1239.00,673.00,673.00,112.00
"Del Valle ISD",2019,3,1486.00,1321.00,411.00,350.00,110.00
"Del Valle ISD",2020,3,1492.00,1301.00,794.00,0.00,109.00
"Denton ISD",2005,1,58.00,58.00,0.00,0.00,58.00
"Denton ISD",2006,1,57.00,56.00,0.00,0.00,55.00
"Denton ISD",2007,1,57.00,57.00,0.00,0.00,52.00
"Denton ISD",2008,3,332.00,128.00,12.00,10.00,81.00
"Denton ISD",2009,3,505.00,232.00,19.00,18.00,114.00
"Denton ISD",2010,4,542.00,276.00,25.00,24.00,106.00
"Denton ISD",2011,4,489.00,265.00,20.00,20.00,106.00
"Denton ISD",2012,3,396.00,199.00,12.00,12.00,67.00
"Denton ISD",2013,2,314.00,161.00,10.00,10.00,56.00
"Denton ISD",2014,1,122.00,80.00,1.00,0.00,28.00
"Denton ISD",2015,2,155.00,32.00,14.00,14.00,16.00
"Denton ISD",2016,2,257.00,108.00,11.00,11.00,16.00
"Denton ISD",2017,2,283.00,127.00,12.00,12.00,39.00
"Denton ISD",2018,2,329.00,188.00,16.00,16.00,44.00
"Denton ISD",2019,2,343.00,200.00,25.00,0.00,54.00
"Denton ISD",2020,2,388.00,215.00,25.00,0.00,54.00
"DeSoto ISD",2008,1,489.00,226.00,31.00,29.00,19.00
"DeSoto ISD",2009,1,506.00,268.00,35.00,34.00,22.00
"DeSoto ISD",2010,1,631.00,355.00,49.00,48.00,27.00
"DeSoto ISD",2011,1,642.00,375.00,41.00,41.00,28.00
"DeSoto ISD",2012,1,655.00,404.00,53.00,52.00,29.00
"DeSoto ISD",2013,3,821.00,504.00,59.00,58.00,53.00
"DeSoto ISD",2014,2,796.00,523.00,55.00,52.00,51.00
"DeSoto ISD",2015,1,650.00,417.00,53.00,53.00,36.00
"DeSoto ISD",2016,1,639.00,394.00,57.00,56.00,27.00
"DeSoto ISD",2017,1,641.00,390.00,49.00,49.00,28.00
"DeSoto ISD",2018,1,598.00,404.00,33.00,33.00,38.00
"DeSoto ISD",2019,2,563.00,392.00,39.00,0.00,53.00
"DeSoto ISD",2020,2,576.00,414.00,53.00,0.00,69.00
"Dickinson ISD",2007,1,37.00,19.00,0.00,0.00,12.00
"Dickinson ISD",2008,1,30.00,15.00,1.00,0.00,9.00
"Dickinson ISD",2009,1,31.00,17.00,1.00,1.00,5.00
"Dickinson ISD",2010,1,27.00,14.00,0.00,0.00,6.00
"Donna ISD",2001,1,187.00,168.00,37.00,37.00,10.00
"Donna ISD",2002,1,247.00,217.00,51.00,50.00,16.00
"Donna ISD",2003,1,336.00,290.00,48.00,53.00,20.00
"Donna ISD",2004,1,499.00,410.00,69.00,69.00,26.00
"Donna ISD",2005,1,659.00,528.00,141.00,108.00,44.00
"Donna ISD",2006,1,896.00,673.00,267.00,253.00,55.00
"Donna ISD",2007,2,1170.00,910.00,388.00,373.00,69.00
"Donna ISD",2008,2,1338.00,1069.00,323.00,296.00,61.00
"Donna ISD",2009,2,1344.00,1115.00,328.00,309.00,73.00
"Donna ISD",2010,2,1427.00,1222.00,329.00,302.00,75.00
"Donna ISD",2011,3,1516.00,1316.00,372.00,368.00,72.00
"Donna ISD",2012,3,1720.00,1522.00,469.00,440.00,74.00
"Donna ISD",2013,3,2052.00,1867.00,450.00,479.00,96.00
"Donna ISD",2014,5,2998.00,2766.00,1063.00,1032.00,116.00
"Donna ISD",2015,5,3255.00,2987.00,1260.00,1236.00,126.00
"Donna ISD",2016,5,3514.00,3290.00,1519.00,1498.00,135.00
"Donna ISD",2017,5,3791.00,3557.00,1648.00,1661.00,149.00
"Donna ISD",2018,5,3975.00,3719.00,1779.00,1747.00,166.00
"Donna ISD",2019,5,4165.00,3882.00,765.00,1232.00,199.00
"Donna ISD",2020,5,4133.00,3767.00,2117.00,414.00,221.00
"Dripping Springs ISD",2001,1,21.00,0.00,0.00,0.00,19.00
"Dripping Springs ISD",2002,1,23.00,23.00,0.00,0.00,15.00
"Dripping Springs ISD",2003,1,21.00,21.00,0.00,0.00,18.00
"Dripping Springs ISD",2004,1,23.00,23.00,0.00,0.00,19.00
"Dripping Springs ISD",2005,1,21.00,21.00,0.00,0.00,18.00
"Dripping Springs ISD",2006,1,22.00,22.00,0.00,0.00,16.00
"Dripping Springs ISD",2007,1,17.00,0.00,0.00,0.00,13.00
"Dripping Springs ISD",2008,1,18.00,18.00,0.00,0.00,14.00
"Dripping Springs ISD",2009,1,18.00,18.00,1.00,1.00,14.00
"Dripping Springs ISD",2010,1,17.00,17.00,0.00,0.00,13.00
"Dripping Springs ISD",2011,1,17.00,17.00,0.00,0.00,14.00
"Dripping Springs ISD",2012,1,19.00,19.00,0.00,0.00,11.00
"Dripping Springs ISD",2013,1,19.00,19.00,0.00,0.00,13.00
"Dripping Springs ISD",2014,1,16.00,16.00,0.00,0.00,6.00
"Dripping Springs ISD",2015,1,18.00,18.00,1.00,1.00,12.00
"Dripping Springs ISD",2016,1,17.00,17.00,2.00,2.00,8.00
"Dripping Springs ISD",2017,1,20.00,20.00,2.00,2.00,12.00
"Dripping Springs ISD",2018,1,20.00,20.00,1.00,1.00,15.00
"Dripping Springs ISD",2019,1,20.00,20.00,0.00,0.00,15.00
"Dripping Springs ISD",2020,1,19.00,19.00,5.00,0.00,12.00
"Dublin ISD",2001,1,50.00,40.00,0.00,0.00,9.00
"Dublin ISD",2002,1,56.00,36.00,2.00,2.00,5.00
"Dublin ISD",2003,1,59.00,31.00,13.00,14.00,11.00
"Dublin ISD",2004,1,66.00,36.00,5.00,5.00,9.00
"Dublin ISD",2005,1,70.00,37.00,1.00,4.00,17.00
"Dublin ISD",2006,1,69.00,41.00,7.00,7.00,15.00
"Dublin ISD",2007,1,75.00,50.00,3.00,2.00,12.00
"Dublin ISD",2008,1,80.00,28.00,0.00,0.00,15.00
"Dublin ISD",2009,1,66.00,33.00,0.00,0.00,11.00
"Dublin ISD",2010,1,67.00,46.00,2.00,2.00,11.00
"Dublin ISD",2011,1,191.00,130.00,0.00,0.00,33.00
"Dublin ISD",2012,1,170.00,105.00,2.00,2.00,33.00
"Dublin ISD",2013,1,147.00,94.00,1.00,1.00,20.00
"Dublin ISD",2014,1,83.00,53.00,1.00,1.00,8.00
"Duncanville ISD",1999,1,80.00,51.00,0.00,0.00,15.00
"Duncanville ISD",2000,3,260.00,43.00,0.00,0.00,86.00
"Duncanville ISD",2001,3,713.00,251.00,5.00,0.00,176.00
"Duncanville ISD",2002,4,868.00,413.00,17.00,11.00,297.00
"Duncanville ISD",2003,2,334.00,146.00,8.00,8.00,127.00
"Duncanville ISD",2009,1,162.00,145.00,0.00,0.00,12.00
"Duncanville ISD",2010,1,231.00,213.00,0.00,0.00,15.00
"Duncanville ISD",2011,3,975.00,513.00,31.00,20.00,40.00
"Duncanville ISD",2012,3,1150.00,683.00,51.00,39.00,65.00
"Duncanville ISD",2013,4,1565.00,818.00,80.00,72.00,68.00
"Duncanville ISD",2014,4,1558.00,817.00,104.00,98.00,79.00
"Duncanville ISD",2015,4,1624.00,836.00,182.00,179.00,89.00
"Duncanville ISD",2016,4,1811.00,1025.00,248.00,240.00,92.00
"Duncanville ISD",2017,5,2078.00,1096.00,305.00,300.00,97.00
"Duncanville ISD",2018,4,2052.00,871.00,341.00,331.00,126.00
"Duncanville ISD",2019,5,2801.00,1259.00,288.00,5.00,135.00
"Duncanville ISD",2020,5,3189.00,1518.00,297.00,0.00,165.00
"Eagle Mountain-Saginaw ISD",2018,2,1251.00,635.00,226.00,226.00,61.00
"Eagle Mountain-Saginaw ISD",2019,2,1326.00,711.00,123.00,884.00,68.00
"Eagle Mountain-Saginaw ISD",2020,2,1354.00,776.00,339.00,74.00,74.00
"Early ISD",2008,1,32.00,21.00,0.00,0.00,7.00
"Early ISD",2009,1,70.00,39.00,0.00,0.00,11.00
"Early ISD",2010,1,63.00,41.00,0.00,0.00,12.00
"Early ISD",2019,1,68.00,53.00,5.00,0.00,13.00
"Early ISD",2020,1,74.00,51.00,5.00,0.00,5.00
"East Central ISD",2002,1,182.00,119.00,0.00,0.00,11.00
"East Central ISD",2003,1,313.00,219.00,4.00,4.00,26.00
"East Central ISD",2004,1,296.00,226.00,5.00,5.00,29.00
"East Central ISD",2005,1,332.00,257.00,4.00,4.00,34.00
"East Central ISD",2006,1,329.00,261.00,13.00,13.00,33.00
"East Central ISD",2007,1,334.00,271.00,17.00,17.00,30.00
"East Central ISD",2008,2,858.00,552.00,37.00,27.00,45.00
"East Central ISD",2009,2,1054.00,692.00,45.00,37.00,49.00
"East Central ISD",2010,2,1190.00,799.00,82.00,36.00,58.00
"East Central ISD",2011,1,638.00,261.00,13.00,0.00,28.00
"East Central ISD",2012,1,1018.00,701.00,16.00,16.00,38.00
"East Central ISD",2013,1,1208.00,796.00,50.00,40.00,54.00
"East Central ISD",2014,1,1509.00,874.00,111.00,95.00,69.00
"East Central ISD",2016,1,1358.00,883.00,125.00,113.00,65.00
"East Central ISD",2017,2,2658.00,1873.00,230.00,214.00,181.00
"East Central ISD",2018,2,2850.00,2005.00,243.00,214.00,199.00
"East Central ISD",2019,2,2805.00,2240.00,232.00,0.00,212.00
"East Central ISD",2020,2,2638.00,2142.00,252.00,0.00,283.00
"Ector County ISD",2004,1,137.00,66.00,0.00,0.00,7.00
"Ector County ISD",2005,1,208.00,88.00,0.00,0.00,18.00
"Ector County ISD",2006,1,168.00,120.00,0.00,0.00,18.00
"Ector County ISD",2007,1,157.00,109.00,0.00,0.00,8.00
"Ector County ISD",2008,1,145.00,77.00,0.00,0.00,11.00
"Ector County ISD",2009,1,190.00,131.00,0.00,0.00,19.00
"Ector County ISD",2010,1,190.00,152.00,0.00,6.00,25.00
"Ector County ISD",2011,2,426.00,268.00,8.00,8.00,37.00
"Ector County ISD",2012,3,820.00,380.00,18.00,15.00,52.00
"Ector County ISD",2013,3,999.00,476.00,32.00,27.00,64.00
"Ector County ISD",2014,3,1215.00,528.00,42.00,35.00,80.00
"Ector County ISD",2015,4,1718.00,708.00,49.00,49.00,111.00
"Ector County ISD",2016,4,1888.00,666.00,58.00,50.00,133.00
"Ector County ISD",2017,4,2325.00,790.00,66.00,50.00,180.00
"Ector County ISD",2018,4,2611.00,712.00,93.00,87.00,179.00
"Ector County ISD",2019,4,2812.00,800.00,96.00,0.00,197.00
"Ector County ISD",2020,4,2940.00,752.00,111.00,0.00,254.00
"Edcouch-Elsa ISD",2019,2,461.00,457.00,38.00,151.00,25.00
"Edcouch-Elsa ISD",2020,2,650.00,594.00,268.00,0.00,61.00
"Edgewood ISD (Bexar)",2004,1,17.00,0.00,0.00,0.00,12.00
"Edgewood ISD (Bexar)",2005,1,17.00,0.00,0.00,0.00,8.00
"Edgewood ISD (Bexar)",2006,1,15.00,0.00,0.00,0.00,3.00
"Edgewood ISD (Bexar)",2007,1,23.00,0.00,0.00,0.00,4.00
"Edgewood ISD (Bexar)",2011,1,186.00,139.00,16.00,16.00,18.00
"Edgewood ISD (Bexar)",2012,1,236.00,190.00,12.00,12.00,23.00
"Edgewood ISD (Bexar)",2013,2,452.00,354.00,58.00,128.00,44.00
"Edgewood ISD (Bexar)",2014,3,1055.00,893.00,210.00,347.00,93.00
"Edgewood ISD (Bexar)",2015,5,1818.00,1552.00,399.00,632.00,145.00
"Edgewood ISD (Bexar)",2016,5,2306.00,2038.00,473.00,772.00,160.00
"Edgewood ISD (Bexar)",2017,4,2054.00,1812.00,520.00,873.00,118.00
"Edgewood ISD (Bexar)",2018,4,2291.00,2006.00,532.00,888.00,138.00
"Edgewood ISD (Bexar)",2019,4,2431.00,2212.00,259.00,751.00,164.00
"Edgewood ISD (Bexar)",2020,4,2426.00,2149.00,628.00,5.00,195.00
"Edinburg Cons ISD",2002,1,83.00,80.00,2.00,2.00,1.00
"Edinburg Cons ISD",2003,1,278.00,278.00,0.00,0.00,23.00
"Edinburg Cons ISD",2004,1,269.00,227.00,1.00,0.00,28.00
"Edinburg Cons ISD",2005,2,333.00,217.00,28.00,27.00,24.00
"Edinburg Cons ISD",2006,2,389.00,277.00,71.00,72.00,16.00
"Edinburg Cons ISD",2007,1,156.00,149.00,60.00,60.00,10.00
"Edinburg Cons ISD",2008,2,583.00,403.00,110.00,104.00,27.00
"Edinburg Cons ISD",2009,2,755.00,508.00,97.00,79.00,28.00
"Edinburg Cons ISD",2010,2,783.00,536.00,77.00,65.00,36.00
"Edinburg Cons ISD",2011,2,811.00,557.00,57.00,54.00,38.00
"Edinburg Cons ISD",2012,5,2079.00,1452.00,358.00,346.00,85.00
"Edinburg Cons ISD",2013,6,2537.00,1997.00,515.00,497.00,95.00
"Edinburg Cons ISD",2014,6,2825.00,2218.00,697.00,673.00,107.00
"Edinburg Cons ISD",2015,6,3051.00,2492.00,841.00,816.00,124.00
"Edinburg Cons ISD",2016,6,3094.00,2574.00,857.00,838.00,131.00
"Edinburg Cons ISD",2017,8,4019.00,3377.00,1214.00,1190.00,153.00
"Edinburg Cons ISD",2018,10,4727.00,4038.00,1466.00,1424.00,168.00
"Edinburg Cons ISD",2019,9,5202.00,4489.00,691.00,1157.00,222.00
"Edinburg Cons ISD",2020,9,5459.00,4706.00,2142.00,426.00,283.00
"El Paso ISD",1999,1,92.00,22.00,0.00,0.00,5.00
"El Paso ISD",2000,2,263.00,90.00,8.00,0.00,10.00
"El Paso ISD",2001,3,465.00,251.00,54.00,31.00,24.00
"El Paso ISD",2002,3,718.00,405.00,230.00,9.00,39.00
"El Paso ISD",2003,2,420.00,162.00,79.00,74.00,34.00
"El Paso ISD",2004,2,431.00,186.00,43.00,43.00,38.00
"El Paso ISD",2005,3,643.00,335.00,31.00,25.00,67.00
"El Paso ISD",2006,3,665.00,385.00,68.00,62.00,51.00
"El Paso ISD",2007,4,834.00,468.00,59.00,49.00,65.00
"El Paso ISD",2008,5,1053.00,608.00,220.00,194.00,84.00
"El Paso ISD",2009,6,1222.00,759.00,305.00,306.00,90.00
"El Paso ISD",2010,7,1900.00,1267.00,379.00,377.00,101.00
"El Paso ISD",2011,7,2144.00,1383.00,497.00,475.00,115.00
"El Paso ISD",2012,7,2090.00,1358.00,487.00,477.00,117.00
"El Paso ISD",2013,7,2292.00,1543.00,542.00,557.00,124.00
"El Paso ISD",2014,7,2457.00,1639.00,528.00,517.00,138.00
"El Paso ISD",2015,8,2644.00,1738.00,619.00,636.00,168.00
"El Paso ISD",2016,8,2817.00,1839.00,714.00,678.00,172.00
"El Paso ISD",2017,8,2909.00,1900.00,780.00,753.00,213.00
"El Paso ISD",2018,8,2787.00,1660.00,745.00,705.00,216.00
"El Paso ISD",2019,8,2774.00,1991.00,417.00,225.00,237.00
"El Paso ISD",2020,11,3350.00,2384.00,1138.00,434.00,252.00
"Elgin ISD",2004,1,70.00,53.00,0.00,0.00,6.00
"Elgin ISD",2005,1,37.00,28.00,0.00,0.00,10.00
"Elgin ISD",2006,1,43.00,35.00,0.00,0.00,14.00
"Elgin ISD",2013,1,118.00,57.00,7.00,7.00,8.00
"Elgin ISD",2014,1,182.00,69.00,19.00,19.00,15.00
"Elgin ISD",2015,1,125.00,32.00,7.00,7.00,11.00
"Elgin ISD",2016,1,101.00,24.00,4.00,4.00,15.00
"Flour Bluff ISD",1997,1,60.00,0.00,0.00,0.00,5.00
"Flour Bluff ISD",1998,1,109.00,0.00,0.00,0.00,6.00
"Flour Bluff ISD",1999,1,171.00,0.00,0.00,0.00,8.00
"Flour Bluff ISD",2000,1,156.00,0.00,1.00,1.00,14.00
"Flour Bluff ISD",2001,1,147.00,44.00,0.00,0.00,10.00
"Flour Bluff ISD",2002,1,139.00,42.00,1.00,1.00,9.00
"Flour Bluff ISD",2003,1,129.00,25.00,3.00,3.00,7.00
"Flour Bluff ISD",2004,1,173.00,15.00,3.00,3.00,13.00
"Flour Bluff ISD",2005,1,193.00,34.00,2.00,2.00,16.00
"Flour Bluff ISD",2006,1,204.00,32.00,1.00,1.00,17.00
"Flour Bluff ISD",2007,1,229.00,47.00,0.00,0.00,22.00
"Flour Bluff ISD",2008,2,271.00,26.00,4.00,4.00,22.00
"Flour Bluff ISD",2009,2,319.00,12.00,4.00,4.00,25.00
"Flour Bluff ISD",2010,2,345.00,4.00,1.00,1.00,26.00
"Flour Bluff ISD",2011,2,371.00,6.00,3.00,3.00,34.00
"Flour Bluff ISD",2012,2,412.00,10.00,3.00,3.00,29.00
"Flour Bluff ISD",2013,2,433.00,9.00,6.00,6.00,25.00
"Flour Bluff ISD",2014,2,461.00,6.00,8.00,8.00,23.00
"Flour Bluff ISD",2015,2,470.00,6.00,4.00,4.00,30.00
"Flour Bluff ISD",2016,2,476.00,4.00,3.00,3.00,34.00
"Flour Bluff ISD",2017,2,489.00,5.00,8.00,8.00,36.00
"Flour Bluff ISD",2018,2,488.00,9.00,9.00,9.00,40.00
"Flour Bluff ISD",2019,2,487.00,10.00,10.00,0.00,43.00
"Flour Bluff ISD",2020,2,496.00,10.00,10.00,0.00,40.00
"Fort Bend ISD",2000,1,52.00,51.00,0.00,0.00,0.00
"Fort Bend ISD",2001,1,106.00,102.00,0.00,0.00,0.00
"Fort Bend ISD",2002,1,127.00,125.00,0.00,0.00,0.00
"Fort Bend ISD",2003,1,155.00,153.00,0.00,0.00,0.00
"Fort Bend ISD",2004,1,255.00,246.00,0.00,0.00,0.00
"Fort Bend ISD",2007,1,171.00,0.00,2.00,1.00,7.00
"Fort Bend ISD",2008,1,262.00,0.00,4.00,2.00,7.00
"Fort Bend ISD",2009,3,1791.00,158.00,18.00,5.00,117.00
"Fort Bend ISD",2010,3,2748.00,942.00,29.00,25.00,176.00
"Fort Bend ISD",2011,3,3062.00,326.00,113.00,90.00,196.00
"Fort Bend ISD",2012,4,1379.00,703.00,194.00,180.00,17.00
"Fort Bend ISD",2013,4,1718.00,913.00,226.00,213.00,49.00
"Fort Bend ISD",2014,4,1659.00,905.00,243.00,229.00,81.00
"Fort Bend ISD",2015,4,1714.00,876.00,273.00,262.00,56.00
"Fort Bend ISD",2016,5,2008.00,1107.00,344.00,337.00,75.00
"Fort Bend ISD",2017,5,2324.00,1323.00,443.00,438.00,89.00
"Fort Bend ISD",2018,6,2956.00,1954.00,656.00,641.00,120.00
"Fort Bend ISD",2019,7,3484.00,2480.00,838.00,5.00,148.00
"Fort Bend ISD",2020,8,4692.00,3032.00,1246.00,0.00,207.00
"Fort Worth ISD",2000,3,211.00,74.00,0.00,0.00,2.00
"Fort Worth ISD",2001,6,766.00,329.00,6.00,6.00,44.00
"Fort Worth ISD",2002,7,1389.00,630.00,28.00,27.00,120.00
"Fort Worth ISD",2003,7,1470.00,730.00,35.00,36.00,116.00
"Fort Worth ISD",2004,8,1837.00,949.00,58.00,49.00,207.00
"Fort Worth ISD",2005,9,2219.00,1305.00,91.00,75.00,264.00
"Fort Worth ISD",2006,9,2077.00,1048.00,110.00,81.00,248.00
"Fort Worth ISD",2007,11,2511.00,1282.00,133.00,131.00,185.00
"Fort Worth ISD",2008,13,2586.00,1315.00,144.00,135.00,185.00
"Fort Worth ISD",2009,10,2348.00,1216.00,143.00,143.00,147.00
"Fort Worth ISD",2010,10,2675.00,1442.00,159.00,159.00,184.00
"Fort Worth ISD",2011,10,2743.00,1410.00,169.00,167.00,169.00
"Fort Worth ISD",2012,9,2812.00,1536.00,209.00,206.00,163.00
"Fort Worth ISD",2013,12,3740.00,2353.00,442.00,417.00,206.00
"Fort Worth ISD",2014,13,4281.00,2850.00,579.00,551.00,279.00
"Fort Worth ISD",2015,13,4378.00,3055.00,723.00,701.00,270.00
"Fort Worth ISD",2016,10,4170.00,2822.00,856.00,807.00,230.00
"Fort Worth ISD",2017,15,5222.00,3534.00,1024.00,934.00,315.00
"Fort Worth ISD",2018,17,6573.00,4745.00,1429.00,1292.00,439.00
"Fort Worth ISD",2019,19,8374.00,6289.00,2218.00,762.00,607.00
"Fort Worth ISD",2020,22,9809.00,7676.00,2951.00,5.00,789.00
"Frenship ISD",2009,1,119.00,72.00,0.00,0.00,15.00
"Frenship ISD",2010,1,82.00,32.00,1.00,1.00,14.00
"Frenship ISD",2011,1,142.00,74.00,3.00,3.00,23.00
"Frenship ISD",2012,1,139.00,64.00,1.00,1.00,13.00
"Frenship ISD",2013,1,114.00,69.00,0.00,0.00,11.00
"Frenship ISD",2014,1,96.00,50.00,0.00,0.00,4.00
"Frenship ISD",2015,1,130.00,70.00,0.00,0.00,12.00
"Frenship ISD",2016,1,134.00,68.00,0.00,0.00,8.00
"Frenship ISD",2017,1,114.00,66.00,0.00,0.00,11.00
"Frenship ISD",2018,1,116.00,68.00,0.00,0.00,6.00
"Frenship ISD",2019,1,137.00,84.00,5.00,0.00,10.00
"Frenship ISD",2020,1,154.00,91.00,0.00,0.00,11.00
"Frisco ISD",2012,1,250.00,20.00,23.00,22.00,2.00
"Frisco ISD",2013,1,350.00,16.00,34.00,32.00,7.00
"Frisco ISD",2014,1,425.00,17.00,36.00,44.00,20.00
"Frisco ISD",2015,1,520.00,27.00,41.00,42.00,44.00
"Frisco ISD",2016,1,595.00,20.00,46.00,45.00,52.00
"Frisco ISD",2017,2,876.00,33.00,74.00,72.00,58.00
"Frisco ISD",2018,2,1099.00,36.00,62.00,58.00,73.00
"Frisco ISD",2019,3,1846.00,93.00,121.00,0.00,124.00
"Frisco ISD",2020,3,2018.00,99.00,106.00,0.00,135.00
"Galena Park ISD",2004,1,361.00,352.00,0.00,0.00,16.00
