"NAME","year","CountOfCAMPNAME","SumOfCPETALLC","SumOfCPETCOPNUM"
"Huntsville ISD",2015,2,335.00,204.00
"Huntsville ISD",2016,2,341.00,212.00
"Huntsville ISD",2017,2,378.00,251.00
"Huntsville ISD",2018,2,381.00,234.00
"Hurst-Euless-Bedford ISD",1999,1,145.00,0.00
"Hurst-Euless-Bedford ISD",2000,1,221.00,7.00
"Hurst-Euless-Bedford ISD",2001,1,234.00,4.00
"Hurst-Euless-Bedford ISD",2002,1,273.00,3.00
"Hurst-Euless-Bedford ISD",2003,1,307.00,2.00
"Hurst-Euless-Bedford ISD",2004,1,301.00,5.00
"Hurst-Euless-Bedford ISD",2005,1,272.00,17.00
"Hurst-Euless-Bedford ISD",2006,1,231.00,13.00
"Hurst-Euless-Bedford ISD",2007,1,226.00,18.00
"Hurst-Euless-Bedford ISD",2008,1,262.00,16.00
"Hurst-Euless-Bedford ISD",2009,1,341.00,57.00
"Hurst-Euless-Bedford ISD",2010,2,771.00,250.00
"Hurst-Euless-Bedford ISD",2011,2,904.00,313.00
"Hurst-Euless-Bedford ISD",2012,2,935.00,356.00
"Hurst-Euless-Bedford ISD",2013,2,1423.00,631.00
"Hurst-Euless-Bedford ISD",2014,2,980.00,374.00
"Hurst-Euless-Bedford ISD",2015,3,1600.00,696.00
"Hurst-Euless-Bedford ISD",2016,3,1663.00,738.00
"Hurst-Euless-Bedford ISD",2017,3,1728.00,773.00
"Hurst-Euless-Bedford ISD",2018,3,1680.00,757.00
"Ingram ISD",2003,1,22.00,22.00
"Ingram ISD",2004,1,16.00,16.00
"Ingram ISD",2005,1,26.00,26.00
"Ingram ISD",2006,2,47.00,46.00
"Ingram ISD",2007,2,80.00,79.00
"Ingram ISD",2008,2,96.00,95.00
"Ingram ISD",2009,2,105.00,102.00
"Ingram ISD",2010,2,93.00,92.00
"Ingram ISD",2011,2,114.00,112.00
"Ingram ISD",2012,2,143.00,140.00
"Ingram ISD",2013,2,114.00,112.00
"Ingram ISD",2014,2,146.00,141.00
"Ingram ISD",2015,2,115.00,94.00
"Ingram ISD",2016,2,113.00,105.00
"Ingram ISD",2017,2,106.00,100.00
"Ingram ISD",2018,2,133.00,127.00
"Irving ISD",1998,1,218.00,5.00
"Irving ISD",1999,2,436.00,25.00
"Irving ISD",2000,2,791.00,182.00
"Irving ISD",2001,3,1838.00,433.00
"Irving ISD",2002,3,1854.00,490.00
"Irving ISD",2003,3,1883.00,509.00
"Irving ISD",2004,3,2000.00,634.00
"Irving ISD",2005,3,1978.00,701.00
"Irving ISD",2006,3,2075.00,807.00
"Irving ISD",2007,3,2366.00,874.00
"Irving ISD",2008,4,2443.00,889.00
"Irving ISD",2009,5,2554.00,976.00
"Irving ISD",2010,5,2433.00,872.00
"Irving ISD",2011,5,2454.00,940.00
"Irving ISD",2012,7,2689.00,1061.00
"Irving ISD",2013,8,3063.00,1353.00
"Irving ISD",2014,8,3189.00,1405.00
"Irving ISD",2015,8,3469.00,1715.00
"Irving ISD",2016,9,4247.00,1930.00
"Irving ISD",2017,10,4376.00,1904.00
"Irving ISD",2018,10,4628.00,2107.00
"Jarrell ISD",2002,1,3.00,0.00
"Jarrell ISD",2003,1,8.00,8.00
"Jarrell ISD",2004,1,4.00,4.00
"Jarrell ISD",2005,1,11.00,11.00
"Jarrell ISD",2006,1,10.00,7.00
"Jarrell ISD",2007,1,5.00,0.00
"Jarrell ISD",2008,1,9.00,0.00
"Jarrell ISD",2009,1,7.00,0.00
"Jarrell ISD",2010,1,6.00,0.00
"Jarrell ISD",2011,1,13.00,2.00
"Jarrell ISD",2012,1,17.00,5.00
"Jarrell ISD",2013,1,13.00,2.00
"Jarrell ISD",2014,1,12.00,2.00
"Jarrell ISD",2015,1,11.00,4.00
"Jarrell ISD",2016,1,11.00,4.00
"Jarrell ISD",2017,1,11.00,3.00
"Jarrell ISD",2018,1,8.00,4.00
"Jasper ISD",2010,1,154.00,42.00
"Jasper ISD",2011,1,212.00,116.00
"Jasper ISD",2012,1,272.00,83.00
"Jasper ISD",2013,1,210.00,59.00
"Jasper ISD",2014,1,186.00,101.00
"Jasper ISD",2015,1,201.00,95.00
"Jasper ISD",2016,1,207.00,96.00
"Jasper ISD",2017,1,186.00,99.00
"Jasper ISD",2018,1,145.00,73.00
"Judson ISD",2008,1,4.00,2.00
"Judson ISD",2009,1,32.00,26.00
"Judson ISD",2010,1,83.00,66.00
"Judson ISD",2011,1,87.00,68.00
"Judson ISD",2012,1,79.00,65.00
"Judson ISD",2013,1,54.00,42.00
"Judson ISD",2014,1,139.00,121.00
"Judson ISD",2015,1,97.00,85.00
"Katy ISD",1997,1,122.00,0.00
"Katy ISD",1998,1,102.00,3.00
"Katy ISD",1999,1,126.00,0.00
"Katy ISD",2000,4,218.00,25.00
"Katy ISD",2001,4,431.00,167.00
"Katy ISD",2002,3,344.00,158.00
"Katy ISD",2003,5,405.00,168.00
"Katy ISD",2004,5,395.00,177.00
"Katy ISD",2005,6,447.00,261.00
"Katy ISD",2006,6,406.00,285.00
"Katy ISD",2007,6,609.00,441.00
"Katy ISD",2008,6,821.00,368.00
"Katy ISD",2009,6,843.00,278.00
"Katy ISD",2010,6,930.00,430.00
"Katy ISD",2011,6,925.00,441.00
"Katy ISD",2012,7,1326.00,548.00
"Katy ISD",2013,7,1648.00,726.00
"Katy ISD",2014,7,1949.00,862.00
"Katy ISD",2015,7,1832.00,694.00
"Katy ISD",2016,8,2635.00,1089.00
"Katy ISD",2017,11,4215.00,1694.00
"Katy ISD",2018,11,4456.00,2052.00
"Kaufman ISD",2001,1,116.00,27.00
"Kaufman ISD",2002,1,86.00,29.00
"Kaufman ISD",2003,1,77.00,24.00
"Kaufman ISD",2004,1,132.00,0.00
"Kaufman ISD",2005,1,83.00,43.00
"Kaufman ISD",2006,1,93.00,53.00
"Kaufman ISD",2007,1,144.00,71.00
"Kaufman ISD",2008,1,210.00,72.00
"Kaufman ISD",2009,1,222.00,127.00
"Kaufman ISD",2010,1,215.00,160.00
"Kaufman ISD",2011,1,185.00,144.00
"Kaufman ISD",2012,1,132.00,107.00
"Kaufman ISD",2013,1,30.00,24.00
"Kaufman ISD",2014,1,41.00,29.00
"Killeen ISD",1999,1,109.00,0.00
"Killeen ISD",2000,2,211.00,0.00
"Killeen ISD",2001,3,338.00,38.00
"Killeen ISD",2002,3,455.00,169.00
"Killeen ISD",2003,3,570.00,131.00
"Killeen ISD",2004,3,572.00,243.00
"Killeen ISD",2005,3,491.00,273.00
"Killeen ISD",2006,3,336.00,181.00
"Killeen ISD",2007,3,344.00,217.00
"Killeen ISD",2008,3,310.00,187.00
"Killeen ISD",2009,3,381.00,257.00
"Killeen ISD",2010,3,354.00,241.00
"Killeen ISD",2011,3,327.00,229.00
"Killeen ISD",2012,3,388.00,270.00
"Killeen ISD",2013,3,348.00,246.00
"Killeen ISD",2014,3,349.00,253.00
"Killeen ISD",2015,3,358.00,210.00
"Killeen ISD",2016,2,442.00,290.00
"Killeen ISD",2017,1,212.00,171.00
"Killeen ISD",2018,2,292.00,211.00
"Kingsville ISD",2012,1,162.00,102.00
"Kingsville ISD",2013,1,238.00,158.00
"Kingsville ISD",2014,1,346.00,231.00
"Kingsville ISD",2015,1,284.00,200.00
"Kingsville ISD",2016,1,283.00,188.00
"Kingsville ISD",2017,1,230.00,157.00
"Kingsville ISD",2018,1,255.00,194.00
"Klein ISD",2008,1,242.00,33.00
"Klein ISD",2009,1,482.00,117.00
"Klein ISD",2010,1,633.00,225.00
"Klein ISD",2011,1,665.00,316.00
"Klein ISD",2012,1,636.00,255.00
"Klein ISD",2013,1,706.00,308.00
"Klein ISD",2014,1,666.00,278.00
"Klein ISD",2015,2,780.00,380.00
"Klein ISD",2016,2,878.00,408.00
"Klein ISD",2017,1,254.00,96.00
"Klein ISD",2018,1,289.00,171.00
"La Joya ISD",2009,2,304.00,252.00
"La Joya ISD",2010,2,640.00,522.00
"La Joya ISD",2011,2,812.00,695.00
"La Joya ISD",2012,3,1243.00,1088.00
"La Joya ISD",2013,3,1467.00,1318.00
"La Joya ISD",2014,3,1637.00,1489.00
"La Joya ISD",2015,3,1679.00,1532.00
"La Joya ISD",2016,3,1654.00,1539.00
"La Joya ISD",2017,3,1787.00,1656.00
"La Joya ISD",2018,3,1840.00,1749.00
"La Porte ISD",2009,1,29.00,29.00
"La Porte ISD",2010,1,28.00,28.00
"La Porte ISD",2015,1,392.00,392.00
"La Porte ISD",2016,1,356.00,356.00
"La Porte ISD",2017,1,366.00,366.00
"La Porte ISD",2018,1,379.00,379.00
"Lake Dallas ISD",2008,1,110.00,8.00
"Lake Dallas ISD",2009,1,169.00,15.00
"Lake Dallas ISD",2010,1,299.00,46.00
"Lake Dallas ISD",2011,1,413.00,43.00
"Lake Dallas ISD",2012,1,540.00,70.00
"Lake Dallas ISD",2013,1,319.00,16.00
"Lake Dallas ISD",2014,1,312.00,18.00
"Lake Dallas ISD",2015,1,332.00,25.00
"Lake Dallas ISD",2016,2,441.00,19.00
"Lake Dallas ISD",2017,3,589.00,41.00
"Lake Dallas ISD",2018,3,689.00,58.00
"Lamar Cons ISD",2006,2,168.00,97.00
"Lamar Cons ISD",2007,2,235.00,139.00
"Lamar Cons ISD",2008,2,399.00,255.00
"Lamar Cons ISD",2009,2,507.00,333.00
"Lamar Cons ISD",2010,2,606.00,437.00
"Lamar Cons ISD",2011,2,707.00,556.00
"Lamar Cons ISD",2012,2,769.00,669.00
"Lamar Cons ISD",2013,2,824.00,704.00
"Lamar Cons ISD",2014,2,873.00,790.00
"Lamar Cons ISD",2015,1,16.00,16.00
"Lamar Cons ISD",2016,1,16.00,16.00
"Lamar Cons ISD",2017,1,12.00,12.00
"Lamar Cons ISD",2018,1,17.00,16.00
"Lancaster ISD",2001,1,82.00,7.00
"Lancaster ISD",2002,1,154.00,82.00
"Lancaster ISD",2003,1,147.00,129.00
"Lancaster ISD",2004,1,865.00,315.00
"Lancaster ISD",2005,1,919.00,775.00
"Lancaster ISD",2006,1,961.00,714.00
"Lancaster ISD",2007,1,994.00,701.00
"Lancaster ISD",2008,2,1446.00,1034.00
"Lancaster ISD",2009,3,1547.00,1120.00
"Lancaster ISD",2010,3,1742.00,1348.00
"Lancaster ISD",2011,2,1718.00,1386.00
"Lancaster ISD",2012,2,1606.00,1289.00
"Lancaster ISD",2013,3,1659.00,1323.00
"Lancaster ISD",2014,3,1678.00,1366.00
"Lancaster ISD",2015,1,650.00,417.00
"Lancaster ISD",2016,1,639.00,394.00
"Lancaster ISD",2017,2,649.00,398.00
"Lancaster ISD",2018,4,1869.00,1433.00
"Laredo ISD",2009,1,342.00,185.00
"Laredo ISD",2010,1,572.00,334.00
"Laredo ISD",2011,1,632.00,393.00
"Laredo ISD",2012,2,833.00,575.00
"Laredo ISD",2013,2,889.00,591.00
"Laredo ISD",2014,2,936.00,644.00
"Laredo ISD",2015,2,854.00,602.00
"Laredo ISD",2016,2,821.00,606.00
"Laredo ISD",2017,2,868.00,651.00
"Laredo ISD",2018,3,1052.00,750.00
"Leakey ISD",2002,1,16.00,15.00
"Leakey ISD",2003,1,15.00,14.00
"Leakey ISD",2004,1,28.00,23.00
"Leakey ISD",2005,1,66.00,48.00
"Leakey ISD",2006,1,56.00,46.00
"Leakey ISD",2007,1,53.00,50.00
"Leakey ISD",2008,1,58.00,53.00
"Leakey ISD",2009,1,57.00,49.00
"Leakey ISD",2010,1,72.00,69.00
"Leakey ISD",2011,1,71.00,66.00
"Leakey ISD",2012,1,72.00,67.00
"Leakey ISD",2013,1,94.00,83.00
"Leakey ISD",2014,1,86.00,76.00
"Leakey ISD",2015,1,139.00,89.00
"Leakey ISD",2016,1,122.00,112.00
"Leakey ISD",2017,1,114.00,104.00
"Leakey ISD",2018,1,129.00,109.00
"Leander ISD",2014,1,139.00,52.00
"Leander ISD",2015,2,652.00,94.00
"Leander ISD",2016,2,724.00,100.00
"Leander ISD",2017,2,829.00,76.00
"Leander ISD",2018,3,1319.00,251.00
"Lewisville ISD",2001,1,216.00,14.00
"Lewisville ISD",2002,3,696.00,11.00
"Lewisville ISD",2003,3,827.00,58.00
"Lewisville ISD",2004,3,1105.00,117.00
"Lewisville ISD",2005,3,970.00,134.00
"Lewisville ISD",2006,3,980.00,178.00
"Lewisville ISD",2007,3,1039.00,146.00
"Lewisville ISD",2008,5,1088.00,168.00
"Lewisville ISD",2009,6,1179.00,191.00
"Lewisville ISD",2010,7,1382.00,208.00
"Lewisville ISD",2011,7,1636.00,237.00
"Lewisville ISD",2012,5,1814.00,220.00
"Lewisville ISD",2013,7,2188.00,404.00
"Lewisville ISD",2014,8,2467.00,398.00
"Lewisville ISD",2015,8,8239.00,3161.00
"Lewisville ISD",2016,10,8223.00,3477.00
"Lewisville ISD",2017,10,8923.00,3824.00
"Lewisville ISD",2018,10,8581.00,3531.00
"Liberty Hill ISD",2000,1,18.00,0.00
"Liberty Hill ISD",2001,1,28.00,0.00
"Liberty Hill ISD",2002,1,73.00,0.00
"Liberty Hill ISD",2003,1,78.00,67.00
"Liberty Hill ISD",2004,1,80.00,24.00
"Liberty Hill ISD",2005,1,83.00,83.00
"Liberty Hill ISD",2006,1,95.00,24.00
"Liberty Hill ISD",2007,1,100.00,8.00
"Liberty Hill ISD",2008,1,97.00,5.00
"Liberty Hill ISD",2009,1,91.00,0.00
"Liberty Hill ISD",2010,1,89.00,0.00
"Liberty Hill ISD",2011,1,111.00,2.00
"Liberty Hill ISD",2012,1,102.00,1.00
"Liberty Hill ISD",2013,1,103.00,0.00
"Liberty Hill ISD",2014,1,107.00,0.00
"Liberty Hill ISD",2015,1,94.00,94.00
"Liberty Hill ISD",2016,1,107.00,107.00
"Liberty Hill ISD",2017,1,114.00,114.00
"Liberty Hill ISD",2018,1,101.00,101.00
"Little Elm ISD",2002,1,68.00,0.00
"Little Elm ISD",2003,1,112.00,20.00
"Little Elm ISD",2004,1,91.00,27.00
"Little Elm ISD",2005,1,122.00,71.00
"Little Elm ISD",2006,1,155.00,72.00
"Little Elm ISD",2007,1,188.00,85.00
"Little Elm ISD",2008,1,189.00,83.00
"Little Elm ISD",2009,1,176.00,54.00
"Little Elm ISD",2010,1,168.00,82.00
"Little Elm ISD",2011,1,182.00,111.00
"Little Elm ISD",2012,1,181.00,110.00
"Little Elm ISD",2013,1,182.00,116.00
"Little Elm ISD",2014,1,154.00,73.00
"Little Elm ISD",2015,1,108.00,77.00
"Little Elm ISD",2017,1,108.00,78.00
"Little Elm ISD",2018,1,163.00,110.00
"Llano ISD",2017,1,85.00,30.00
"Llano ISD",2018,1,151.00,69.00
"Lockhart ISD",2003,1,118.00,114.00
"Lockhart ISD",2004,1,121.00,120.00
"Lockhart ISD",2005,1,119.00,119.00
"Lockhart ISD",2006,1,170.00,149.00
"Lockhart ISD",2007,1,166.00,166.00
"Lockhart ISD",2008,1,175.00,175.00
"Lockhart ISD",2009,1,172.00,172.00
"Lockhart ISD",2010,1,168.00,167.00
"Lockhart ISD",2011,1,165.00,159.00
"Lockhart ISD",2012,1,175.00,174.00
"Lockhart ISD",2013,1,171.00,169.00
"Lockhart ISD",2014,1,171.00,168.00
"Lockhart ISD",2015,1,165.00,163.00
"Lockhart ISD",2016,1,182.00,182.00
"Lockhart ISD",2017,2,181.00,168.00
"Lockhart ISD",2018,2,159.00,148.00
"Lometa ISD",2009,1,23.00,20.00
"Lometa ISD",2010,1,26.00,26.00
"Lometa ISD",2011,1,29.00,29.00
"Lometa ISD",2012,1,31.00,31.00
"Lometa ISD",2013,1,31.00,31.00
"Lometa ISD",2014,1,29.00,29.00
"Lometa ISD",2015,1,32.00,32.00
"Lometa ISD",2016,1,31.00,31.00
"Lometa ISD",2017,1,32.00,32.00
"Lometa ISD",2018,1,34.00,34.00
"Longview ISD",2000,1,52.00,27.00
"Longview ISD",2001,1,144.00,18.00
"Longview ISD",2002,1,143.00,19.00
"Longview ISD",2003,1,156.00,23.00
"Longview ISD",2004,1,140.00,29.00
"Longview ISD",2005,1,139.00,34.00
"Longview ISD",2006,1,135.00,45.00
"Longview ISD",2007,1,168.00,62.00
"Longview ISD",2008,1,162.00,54.00
"Longview ISD",2009,1,155.00,50.00
"Longview ISD",2010,1,157.00,49.00
"Longview ISD",2011,1,157.00,50.00
"Longview ISD",2012,1,165.00,58.00
"Longview ISD",2013,2,225.00,44.00
"Longview ISD",2014,2,284.00,71.00
"Longview ISD",2015,2,299.00,70.00
"Longview ISD",2016,2,309.00,65.00
"Longview ISD",2017,2,324.00,66.00
"Longview ISD",2018,2,358.00,72.00
"Lubbock ISD",2000,2,173.00,94.00
"Lubbock ISD",2001,2,227.00,166.00
"Lubbock ISD",2002,2,255.00,184.00
"Lubbock ISD",2003,2,309.00,202.00
"Lubbock ISD",2004,2,344.00,253.00
"Lubbock ISD",2005,2,355.00,301.00
"Lubbock ISD",2006,2,318.00,283.00
"Lubbock ISD",2007,3,476.00,362.00
"Lubbock ISD",2008,4,631.00,486.00
"Lubbock ISD",2009,6,975.00,757.00
"Lubbock ISD",2010,6,1029.00,807.00
"Lubbock ISD",2011,6,1145.00,901.00
"Lubbock ISD",2012,5,1083.00,894.00
"Lubbock ISD",2013,5,1156.00,954.00
"Lubbock ISD",2014,5,1149.00,946.00
"Lubbock ISD",2015,5,1044.00,949.00
"Lubbock ISD",2016,4,1019.00,816.00
"Lubbock ISD",2017,4,1063.00,902.00
"Lubbock ISD",2018,4,1080.00,934.00
"Lufkin ISD",2000,1,208.00,23.00
"Lufkin ISD",2001,1,275.00,12.00
"Lufkin ISD",2002,1,187.00,86.00
"Lufkin ISD",2003,1,182.00,99.00
"Lufkin ISD",2004,1,197.00,107.00
"Lufkin ISD",2005,1,206.00,114.00
"Lufkin ISD",2006,1,220.00,132.00
"Lufkin ISD",2007,1,263.00,145.00
"Lufkin ISD",2008,1,313.00,185.00
"Lufkin ISD",2009,1,304.00,209.00
"Lufkin ISD",2010,2,336.00,206.00
"Lufkin ISD",2011,2,465.00,272.00
"Lufkin ISD",2012,2,554.00,350.00
"Lufkin ISD",2013,2,635.00,320.00
"Lufkin ISD",2014,2,701.00,344.00
"Lufkin ISD",2015,2,811.00,407.00
"Lufkin ISD",2016,2,966.00,451.00
"Lufkin ISD",2017,3,1037.00,470.00
"Lufkin ISD",2018,3,1020.00,517.00
"Manor ISD",2005,1,147.00,123.00
"Manor ISD",2006,2,393.00,212.00
"Manor ISD",2007,2,526.00,155.00
"Manor ISD",2008,2,596.00,373.00
"Manor ISD",2009,3,697.00,450.00
"Manor ISD",2010,4,954.00,643.00
"Manor ISD",2011,5,1367.00,981.00
"Manor ISD",2012,6,1875.00,1427.00
"Manor ISD",2013,6,2248.00,1754.00
"Manor ISD",2014,6,2533.00,2044.00
"Manor ISD",2015,6,2969.00,2335.00
"Manor ISD",2016,6,3232.00,2500.00
"Manor ISD",2017,4,1792.00,1131.00
"Manor ISD",2018,4,1943.00,1351.00
"Mansfield ISD",2017,2,485.00,246.00
"Mansfield ISD",2018,2,782.00,360.00
"Marshall ISD",2010,1,65.00,17.00
"Marshall ISD",2011,1,67.00,24.00
"Marshall ISD",2012,1,88.00,16.00
"Marshall ISD",2013,1,91.00,31.00
"Marshall ISD",2014,1,75.00,20.00
"Marshall ISD",2015,1,89.00,27.00
"Marshall ISD",2016,1,87.00,27.00
"Marshall ISD",2017,1,80.00,36.00
"Marshall ISD",2018,1,82.00,29.00
"Martins Mill ISD",2000,1,42.00,12.00
"Martins Mill ISD",2001,1,40.00,0.00
"Martins Mill ISD",2002,1,65.00,0.00
"Martins Mill ISD",2003,1,42.00,0.00
"Martins Mill ISD",2004,1,55.00,10.00
"Martins Mill ISD",2005,1,45.00,4.00
"Martins Mill ISD",2006,1,39.00,8.00
"Martins Mill ISD",2007,1,33.00,5.00
"Martins Mill ISD",2008,1,38.00,2.00
"Martins Mill ISD",2009,1,43.00,0.00
"Martins Mill ISD",2010,1,44.00,12.00
"Martins Mill ISD",2011,1,58.00,12.00
"Martins Mill ISD",2012,1,52.00,11.00
"Martins Mill ISD",2013,1,63.00,20.00
"Martins Mill ISD",2014,1,57.00,24.00
"Martins Mill ISD",2015,1,76.00,28.00
"Martins Mill ISD",2016,1,86.00,42.00
"Martins Mill ISD",2017,1,114.00,48.00
"Martins Mill ISD",2018,1,102.00,49.00
"McAllen ISD",2000,1,51.00,35.00
"McAllen ISD",2001,1,45.00,29.00
"McAllen ISD",2002,1,95.00,36.00
"McAllen ISD",2003,1,80.00,65.00
"McAllen ISD",2004,1,51.00,19.00
"McAllen ISD",2005,2,212.00,106.00
"McAllen ISD",2006,2,281.00,155.00
"McAllen ISD",2007,3,651.00,340.00
"McAllen ISD",2008,3,821.00,449.00
"McAllen ISD",2009,3,1013.00,629.00
"McAllen ISD",2010,3,1165.00,741.00
"McAllen ISD",2011,3,1102.00,728.00
"McAllen ISD",2012,4,1336.00,931.00
"McAllen ISD",2013,4,1451.00,1153.00
"McAllen ISD",2014,4,1550.00,1232.00
"McAllen ISD",2015,3,866.00,672.00
"McAllen ISD",2016,3,917.00,656.00
"McAllen ISD",2017,3,955.00,644.00
"McAllen ISD",2018,3,821.00,675.00
"McKinney ISD",2009,1,82.00,0.00
"McKinney ISD",2010,1,129.00,0.00
"McKinney ISD",2011,1,41.00,41.00
"McKinney ISD",2012,1,108.00,108.00
"McKinney ISD",2013,2,951.00,87.00
"McKinney ISD",2014,2,1125.00,105.00
"McKinney ISD",2015,1,1097.00,84.00
"McKinney ISD",2016,1,1192.00,83.00
"McKinney ISD",2017,1,1230.00,75.00
"McKinney ISD",2018,1,1341.00,109.00
"Mercedes ISD",2003,1,84.00,77.00
"Mercedes ISD",2004,1,202.00,194.00
"Mercedes ISD",2005,1,207.00,190.00
"Mercedes ISD",2006,1,193.00,129.00
"Mercedes ISD",2007,1,204.00,160.00
"Mercedes ISD",2008,1,232.00,196.00
"Mercedes ISD",2009,1,157.00,105.00
"Mercedes ISD",2010,1,169.00,132.00
"Mercedes ISD",2011,1,177.00,144.00
"Mercedes ISD",2012,1,164.00,139.00
"Mercedes ISD",2013,1,131.00,108.00
"Mercedes ISD",2014,1,130.00,118.00
"Mercedes ISD",2015,1,84.00,72.00
"Mercedes ISD",2016,1,108.00,103.00
"Mercedes ISD",2017,1,115.00,112.00
"Mercedes ISD",2018,1,112.00,109.00
"Mesquite ISD",2002,1,141.00,122.00
"Mesquite ISD",2003,1,159.00,118.00
"Mesquite ISD",2004,1,196.00,185.00
"Mesquite ISD",2005,1,278.00,256.00
"Mesquite ISD",2006,1,261.00,233.00
"Mesquite ISD",2007,1,370.00,335.00
"Mesquite ISD",2008,1,345.00,316.00
"Mesquite ISD",2009,1,465.00,434.00
"Mesquite ISD",2010,1,494.00,457.00
"Mesquite ISD",2011,1,437.00,396.00
"Mesquite ISD",2012,1,459.00,399.00
"Mesquite ISD",2013,2,835.00,647.00
"Mesquite ISD",2014,2,1009.00,865.00
"Mesquite ISD",2015,1,528.00,402.00
"Mesquite ISD",2016,2,708.00,561.00
"Mesquite ISD",2017,4,1486.00,1152.00
"Mesquite ISD",2018,3,1769.00,1328.00
"Midland ISD",2000,1,586.00,262.00
"Midland ISD",2001,1,702.00,457.00
"Midland ISD",2002,1,549.00,351.00
"Midland ISD",2003,1,499.00,342.00
"Midland ISD",2004,1,392.00,322.00
"Midland ISD",2005,1,511.00,369.00
"Midland ISD",2006,1,503.00,328.00
"Midland ISD",2007,2,613.00,377.00
"Midland ISD",2008,2,640.00,386.00
"Midland ISD",2009,3,801.00,399.00
"Midland ISD",2010,3,842.00,551.00
"Midland ISD",2011,3,870.00,569.00
"Midland ISD",2012,3,863.00,489.00
"Midland ISD",2013,3,784.00,458.00
"Midland ISD",2014,4,884.00,453.00
"Midland ISD",2015,4,1062.00,413.00
"Midland ISD",2016,4,1157.00,480.00
"Midland ISD",2017,5,1273.00,632.00
"Midland ISD",2018,4,1368.00,639.00
"Mission Cons ISD",1997,1,93.00,69.00
"Mission Cons ISD",1998,1,167.00,14.00
"Mission Cons ISD",1999,1,243.00,82.00
"Mission Cons ISD",2000,1,179.00,105.00
"Mission Cons ISD",2001,1,172.00,172.00
"Mission Cons ISD",2002,1,199.00,140.00
"Mission Cons ISD",2003,1,192.00,188.00
"Mission Cons ISD",2004,1,165.00,160.00
"Mission Cons ISD",2005,1,148.00,144.00
"Mission Cons ISD",2006,1,139.00,137.00
"Mission Cons ISD",2007,2,275.00,200.00
"Mission Cons ISD",2008,2,314.00,271.00
"Mission Cons ISD",2009,2,314.00,278.00
"Mission Cons ISD",2010,2,247.00,197.00
"Mission Cons ISD",2011,2,295.00,291.00
"Mission Cons ISD",2012,2,408.00,303.00
"Mission Cons ISD",2013,3,450.00,417.00
"Mission Cons ISD",2014,3,521.00,483.00
"Mission Cons ISD",2015,3,589.00,538.00
"Mission Cons ISD",2016,4,608.00,549.00
"Mission Cons ISD",2017,4,1179.00,1071.00
"Mission Cons ISD",2018,4,1426.00,1242.00
"Nacogdoches ISD",2009,1,154.00,16.00
"Nacogdoches ISD",2010,1,221.00,25.00
"Nacogdoches ISD",2011,1,261.00,39.00
"Nacogdoches ISD",2012,1,259.00,25.00
"Nacogdoches ISD",2013,1,252.00,19.00
"Nacogdoches ISD",2014,1,246.00,17.00
"Nacogdoches ISD",2015,1,250.00,19.00
"Nacogdoches ISD",2016,1,242.00,14.00
"Nacogdoches ISD",2017,1,255.00,22.00
"Nacogdoches ISD",2018,1,255.00,22.00
"New Braunfels ISD",2010,1,40.00,25.00
"New Braunfels ISD",2011,1,92.00,50.00
"New Braunfels ISD",2012,1,127.00,79.00
"New Braunfels ISD",2013,1,103.00,54.00
"New Braunfels ISD",2014,1,103.00,57.00
"New Braunfels ISD",2015,1,93.00,35.00
"New Braunfels ISD",2016,1,108.00,45.00
"New Braunfels ISD",2017,1,108.00,50.00
"New Braunfels ISD",2018,1,103.00,56.00
"New Waverly ISD",1999,1,224.00,224.00
"New Waverly ISD",2000,1,184.00,184.00
"New Waverly ISD",2001,1,194.00,194.00
"New Waverly ISD",2002,1,201.00,201.00
"New Waverly ISD",2003,1,203.00,203.00
"New Waverly ISD",2004,1,180.00,180.00
"New Waverly ISD",2005,1,168.00,168.00
"New Waverly ISD",2006,1,161.00,161.00
"New Waverly ISD",2007,1,172.00,172.00
"New Waverly ISD",2008,1,171.00,171.00
"New Waverly ISD",2009,1,146.00,146.00
"New Waverly ISD",2010,1,136.00,136.00
"New Waverly ISD",2011,1,110.00,110.00
"New Waverly ISD",2012,1,103.00,103.00
"New Waverly ISD",2013,1,100.00,100.00
"New Waverly ISD",2014,1,78.00,78.00
"New Waverly ISD",2015,1,72.00,72.00
"New Waverly ISD",2016,1,95.00,95.00
"New Waverly ISD",2017,1,89.00,89.00
"New Waverly ISD",2018,1,104.00,104.00
"North East ISD",1997,1,106.00,27.00
"North East ISD",1998,1,189.00,47.00
"North East ISD",1999,3,689.00,312.00
"North East ISD",2000,6,1073.00,509.00
"North East ISD",2001,7,1478.00,1074.00
"North East ISD",2002,8,1725.00,1080.00
"North East ISD",2003,8,1408.00,1062.00
"North East ISD",2004,9,2224.00,1744.00
"North East ISD",2005,9,2089.00,1658.00
"North East ISD",2006,11,2154.00,1635.00
"North East ISD",2007,12,2699.00,2024.00
"North East ISD",2008,13,3168.00,2371.00
"North East ISD",2009,13,3064.00,2461.00
"North East ISD",2010,15,3673.00,2865.00
"North East ISD",2011,16,4445.00,3570.00
"North East ISD",2012,15,4859.00,3882.00
"North East ISD",2013,15,4393.00,3594.00
"North East ISD",2014,15,4697.00,3766.00
"North East ISD",2015,15,4422.00,3435.00
"North East ISD",2016,15,5521.00,3951.00
"North East ISD",2017,22,7343.00,4514.00
